product_id,sku,name,category,uom,unit_cost,unit_price,is_dish,perishable,is_produce,co2e_kg_per_uom,portion_kg,plannable
ING_TOMATO,SKU-TOMATO,Tomato,soft_veg,kg,32.0,,0,1,1,1.4,,0
ING_ONION,SKU-ONION,Onion,root_allium,kg,38.0,,0,1,1,0.5,,0
ING_POTATO,SKU-POTATO,Potato,root_allium,kg,28.0,,0,1,1,0.5,,0
ING_CAULI,SKU-CAULI,Cauliflower,hard_veg,kg,40.0,,0,1,1,0.7,,0
ING_SPINACH,SKU-SPINACH,Spinach,leafy,kg,30.0,,0,1,1,0.6,,0
ING_CORIANDER,SKU-CORIANDER,Coriander leaves,herb,kg,60.0,,0,1,1,0.6,,0
ING_GCHILLI,SKU-GCHILLI,Green chilli,soft_veg,kg,70.0,,0,1,1,1.0,,0
ING_GINGER,SKU-GINGER,Ginger,root_allium,kg,120.0,,0,1,1,0.8,,0
ING_GARLIC,SKU-GARLIC,Garlic,root_allium,kg,180.0,,0,1,1,0.8,,0
ING_CARROT,SKU-CARROT,Carrot,hard_veg,kg,45.0,,0,1,1,0.4,,0
ING_CAPSICUM,SKU-CAPSICUM,Capsicum,soft_veg,kg,80.0,,0,1,1,1.8,,0
ING_CABBAGE,SKU-CABBAGE,Cabbage,hard_veg,kg,25.0,,0,1,1,0.4,,0
ING_BRINJAL,SKU-BRINJAL,Brinjal,soft_veg,kg,40.0,,0,1,1,0.9,,0
ING_OKRA,SKU-OKRA,Okra,soft_veg,kg,55.0,,0,1,1,0.9,,0
ING_PEAS,SKU-PEAS,Green peas,soft_veg,kg,90.0,,0,1,1,1.0,,0
ING_MINT,SKU-MINT,Mint leaves,herb,kg,60.0,,0,1,1,0.6,,0
ING_CURRYLEAF,SKU-CURRYLEAF,Curry leaves,herb,kg,80.0,,0,1,1,0.6,,0
ING_LEMON,SKU-LEMON,Lemon,fruit,kg,90.0,,0,1,1,0.9,,0
ING_BEANS,SKU-BEANS,French beans,soft_veg,kg,60.0,,0,1,1,0.8,,0
ING_MUSHROOM,SKU-MUSHROOM,Mushroom,soft_veg,kg,220.0,,0,1,1,2.9,,0
ING_CUCUMBER,SKU-CUCUMBER,Cucumber,soft_veg,kg,35.0,,0,1,1,0.6,,0
ING_BANANA,SKU-BANANA,Banana,fruit,kg,55.0,,0,1,1,0.8,,0
ING_CHICKEN,SKU-CHICKEN,Chicken,meat,kg,210.0,,0,1,0,6.9,,0
ING_MUTTON,SKU-MUTTON,Mutton,meat,kg,720.0,,0,1,0,39.2,,0
ING_FISH,SKU-FISH,Seer fish,meat,kg,480.0,,0,1,0,5.4,,0
ING_EGG,SKU-EGG,Egg,dairy,kg,140.0,,0,1,0,4.7,,0
ING_PANEER,SKU-PANEER,Paneer,dairy,kg,380.0,,0,1,0,8.6,,0
ING_CURD,SKU-CURD,Curd,dairy,kg,70.0,,0,1,0,2.2,,0
ING_MILK,SKU-MILK,Milk,dairy,kg,58.0,,0,1,0,1.4,,0
ING_CREAM,SKU-CREAM,Cream,dairy,kg,220.0,,0,1,0,5.3,,0
ING_BUTTER,SKU-BUTTER,Butter,dairy,kg,520.0,,0,1,0,12.1,,0
ING_GHEE,SKU-GHEE,Ghee,dry,kg,640.0,,0,0,0,14.8,,0
ING_RICE,SKU-RICE,Basmati rice,dry,kg,120.0,,0,0,0,2.7,,0
ING_ATTA,SKU-ATTA,Wheat flour,dry,kg,48.0,,0,0,0,1.4,,0
