waste_id,site_id,business_date,product_id,batch_id,qty,uom,value,reason,stage,capture_method,note
W000001,SITE_KIT_01,2025-11-15,DSH_CHBIRYANI,,0.837,kg,177.22,overproduction,post_service,pos_derived,"6 portions unsold, 1.9 binned"
W000002,SITE_KIT_01,2025-11-15,DSH_CHBIRYANI,,0.306,kg,64.79,plate_waste,service,manual,2 plates partly returned
W000003,SITE_KIT_01,2025-11-15,DSH_VGBIRYANI,,0.651,kg,70.76,overproduction,post_service,pos_derived,"5 portions unsold, 1.6 binned"
W000004,SITE_KIT_01,2025-11-15,DSH_PBM,,0.96,kg,277.92,overproduction,post_service,pos_derived,"16 portions unsold, 3.2 binned"
W000005,SITE_KIT_01,2025-11-15,DSH_PBM,,0.306,kg,88.59,plate_waste,service,manual,3 plates partly returned
W000006,SITE_KIT_01,2025-11-15,DSH_GOBIMANCH,,1.512,kg,156.49,overproduction,post_service,pos_derived,"12 portions unsold, 5.4 binned"
W000007,SITE_KIT_01,2025-11-15,DSH_PALAK,,0.306,kg,55.19,plate_waste,service,manual,3 plates partly returned
W000008,SITE_KIT_01,2025-11-15,DSH_NAAN,,0.337,kg,37.06,plate_waste,service,manual,11 plates partly returned
W000009,SITE_KIT_01,2025-11-15,DSH_ROTI,,0.071,kg,3.81,plate_waste,service,manual,3 plates partly returned
W000010,SITE_KIT_01,2025-11-15,DSH_JEERARICE,,1.294,kg,112.54,overproduction,post_service,pos_derived,"21 portions unsold, 4.6 binned"
W000011,SITE_KIT_01,2025-11-15,DSH_JEERARICE,,0.095,kg,8.28,plate_waste,service,manual,1 plates partly returned
W000012,SITE_KIT_01,2025-11-15,DSH_DALTADKA,,1.215,kg,93.47,overproduction,post_service,pos_derived,"27 portions unsold, 4.0 binned"
W000013,SITE_KIT_01,2025-11-15,DSH_ROGANJOSH,,0.518,kg,340.49,overproduction,post_service,pos_derived,"9 portions unsold, 1.6 binned"
W000014,SITE_KIT_01,2025-11-15,DSH_VEGPULAO,,0.672,kg,68.54,overproduction,post_service,pos_derived,"8 portions unsold, 1.9 binned"
W000015,SITE_KIT_01,2025-11-15,DSH_DOSA,,0.085,kg,7.96,plate_waste,service,manual,1 plates partly returned
W000016,SITE_KIT_01,2025-11-15,DSH_FISHCURRY,,0.432,kg,155.19,overproduction,post_service,pos_derived,"6 portions unsold, 1.4 binned"
W000017,SITE_KIT_01,2025-11-15,ING_ONION,,1.03,kg,39.15,prep_trim,prep,manual,yield 0.92 on 33.63 kg net
W000018,SITE_KIT_01,2025-11-15,ING_TOMATO,,0.272,kg,8.69,prep_trim,prep,manual,yield 0.97 on 26.98 kg net
W000019,SITE_KIT_01,2025-11-15,ING_GINGER,,0.041,kg,4.9,prep_trim,prep,manual,yield 0.90 on 1.13 kg net
W000020,SITE_KIT_01,2025-11-15,ING_GARLIC,,0.078,kg,14.05,prep_trim,prep,manual,yield 0.88 on 1.74 kg net
W000021,SITE_KIT_01,2025-11-15,ING_GCHILLI,,0.028,kg,1.98,prep_trim,prep,manual,yield 0.95 on 1.58 kg net
W000022,SITE_KIT_01,2025-11-15,ING_MINT,,0.033,kg,2.0,prep_trim,prep,manual,yield 0.87 on 0.64 kg net
